DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1964-0102-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1964,12,,1964,12,,400,,,,,,,,,,,9.887713291,,2003-07-01,2023-09-25
1966-0070-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Near Cambodia border,,,Yes,No,No,,,Km2,,,,1966,9,20,1966,9,20,31,,125541,70361,195902,,,,,10000,96644,10.34730224,,2003-07-01,2023-09-25
1970-0059-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,North,,,No,No,No,,,Km2,,,,1970,10,26,1970,10,26,237,,204000,,204000,,,,,,,12.37691039,,2003-07-01,2023-09-25
1978-0105-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Mekong Delta,,,No,No,No,,,Km2,,,,1978,8,,1978,8,,74,,4000000,79000,4079000,,,,,,,20.79554994,,2003-07-01,2023-09-25
1980-0106-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam Da Nang, Nghia Binh, Binh Tri Thien, Phu Khanh provinces (include Quang Ngai)",,,No,No,No,,,Km2,,,,1980,11,,1980,11,,94,,628000,,628000,,,,,,,26.27072272,,2003-07-01,2023-09-25
1984-0090-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Central  (include Quang Ngai),,,No,No,No,,,Km2,,,,1984,10,,1984,10,,33,,38000,,38000,,,,,,,33.11667587,,2003-07-01,2023-09-25
1985-0106-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Nam Ninh, Thanh Hoa, Hai Hung, Ha Bac",,,No,No,No,,24680,Km2,,,,1985,9,7,1985,9,7,93,,2800000,,2800000,,,,,,,34.2908695,,2003-07-01,2023-09-25
1986-0139-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Central  (include Quang Ngai),,,No,No,No,,,Km2,,,,1986,12,3,1986,12,3,165,,,,,,,,,,,34.94173347,,2003-07-01,2023-09-25
1990-0048-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Son La, Hoang Lien Son, Ha Tuyen, Binh Dinh, Dac Lac, Lai Chau, Muong Lay provinces",Heavy rain,,No,No,No,,13950,Km2,,,,1990,6,20,1990,7,8,82,200,10000,,10200,,,,,725,1741,41.65219605,,2006-07-19,2023-09-25
1991-0229-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Long An, Dong Thap, Kien Giang provinces",,,No,No,No,,1000,Km2,,,,1991,8,,1991,8,,21,,270000,600,270600,,,,,5000,11516,43.41615747,,2007-08-08,2023-09-25
1991-0315-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Son La, Lai Chau provinces",Monsoonal rain,Broken Dam/Burst bank,No,No,No,,30960,Km2,,,,1991,7,28,1991,7,31,38,14,4000,,4014,,,,,3200,7371,43.41615747,,2006-07-18,2023-09-25
1991-0538-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Dong Thap, Long An, Tien Giang, Kien Giang provinces (Mekong Delta)",Heavy rain,,No,No,No,,,Km2,,,Mekong river,1991,9,19,1991,9,25,136,,21000,,21000,,,,,38500,88677,43.41615747,,2006-01-08,2023-09-25
1992-0144-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien-Hue, Quang Nam-Da Nang provinces",Heavy rain,,Yes,No,No,,569,Km2,,,,1992,10,5,1992,10,9,55,10,44109,7579,51698,,,,,47700,106637,44.73115338,,2005-11-21,2023-09-25
1992-0145-VNM,Yes,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Quang Tri provinces",Tropical cyclone,,No,No,No,,,Km2,,,,1992,10,28,1992,10,31,1,,58000,,58000,,,,,,,44.73115338,,2005-11-21,2023-09-25
1993-0213-VNM,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Phu Yen, Lam Dong, Quang Tri, Da Nang, Khanh Hoa, Binh Dinh, Darlac and Binh Thuan provinces",Brief torrential rain,,No,No,No,,29440,Km2,,,"Phan Thiet, Muong Man River",1993,10,2,1993,10,12,64,,15000,,15000,,,,,10000,21715,46.05146103,,2005-11-18,2023-09-25
1994-0341-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Dong Thap, An Giang, Long An, Tien Giang, Kien Giang, Can Tho, Nghe An, Thanh Hoa provinces",Monsoonal rain,,Yes,No,No,920,65260,Km2,,,Mekong,1994,9,4,1994,12,18,310,,382000,,382000,,,,,206000,435958,47.25222839,,2006-07-12,2023-09-25
1995-0236-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Quang Tri, Kegalle, Da Nang, Dong Thap, Dong Thap, Kien Gang, An Giang, Tien Giang, Vinh Long, Can Tho provinces",Heavy rain,,Yes,No,No,,123000,Km2,,,"Mekong, Perfume",1995,9,21,1995,10,19,253,,400000,,400000,,,,,86000,177035,48.57784776,,2006-07-11,2023-09-25
1996-0248-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Dong Thap, Tay Minh, Long An, Tien Giang, Kien Giang, Can Tho, Vinh Long provinces",Heavy rain,,Yes,No,No,,22610,Km2,,,Mekong,1996,10,1,1996,11,13,162,,375000,,375000,,,,,138000,275990,50.00176806,,2007-08-27,2023-09-25
1996-0447-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Thua Thien-Hue, Quang Nam-Da Nang, Quang Tri, Quang Ngai, Binh Dinh, Kon Tum",,,No,No,No,,,Km2,,,,1996,9,14,1996,9,19,60,,,,,,,,,13400,26799,50.00176806,,2006-07-11,2023-09-25
1998-0316-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Khan Hoa, Binh Dinh, Quang Ngai, Phu Yen, Ninh Thuan",Heavy rain,,No,No,No,,110,Km2,,,,1998,10,16,1998,10,23,45,5,31030,1470,32505,,,,,13700,26364,51.9649683,,2005-10-27,2023-09-25
1999-0244-VNM,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Binh Thuan, Lam Dong, Dac Lac and Dong Nai",Brief torrential rain,"Slide (land, mud, snow, rock)",Yes,No,No,25,500,Km2,,,,1999,7,24,1999,8,5,40,,106885,8290,115175,,,,,19500,36722,53.10197229,,2007-05-07,2023-09-25
1999-0428-VNM,Yes,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Da Nang, Quang Nam, Thanh Hoa, Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien Hue, Quang Ngai, Binh Dinh",Tropical cyclone,,Yes,No,No,5748,947,Km2,,,,1999,10,25,1999,11,9,622,412,3414000,90000,3504412,,,,,237000,446311,53.10197229,,2005-10-26,2023-09-25
1999-0574-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Thua Thien Hue, Khanh Hoa, Phu Yen, Binh Dinh, Quang Ngai, Quang Nam, Danang and Khanh Hoa.",Heavy rain,,Yes,No,No,1864,288,Km2,,,Thu Hong,1999,12,2,1999,12,10,127,164,2118265,45265,2163694,,,,,53000,99808,53.10197229,,2005-10-26,2023-09-25
2000-0408-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Long An, Dong Thap, An Giang, Kien Giang, Can Tho city, Vinh Long, Tien Giang provinces",,,Yes,No,No,9402,1400,Km2,,,,2000,7,,2000,11,,460,4,5000000,,5000004,,,,,250000,455414,54.89515197,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""},{""adm1_code"":3362,""adm1_name"":""Long An""},{""adm1_code"":3384,""adm1_name"":""Tien Giang""},{""adm1_code"":3388,""adm1_name"":""Vinh Long""},{""adm1_code"":73933,""adm1_name"":""Can Tho city""}]",2006-09-17,2023-09-25
2000-0748-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam, Khanh Hoa, Phu Yen, Ninh Thuan, Binh Thuan, Quang Ngai, Binh Dinh, Quang Tri, Thua Thien-Hue provinces",,,No,No,No,,49140,Km2,,,,2000,11,18,2000,11,26,36,3,25000,,25003,,,,,15000,27325,54.89515197,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3368,""adm1_name"":""Ninh Thuan""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2004-10-19,2023-09-25
2001-0361-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Tien Yen, Dong Trieu, Hoanh Bo districts (Quang Ninh province)",,,No,No,No,,,Km2,,,,2001,6,30,2001,6,30,9,,175,,175,,,,,,,56.44657635,"[{""adm2_code"":32546,""adm2_name"":""Dong Trieu""},{""adm2_code"":32548,""adm2_name"":""Hoanh Bo""},{""adm2_code"":32551,""adm2_name"":""Tien Yen""}]",2003-07-01,2023-09-25
2001-0492-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Long An, Dong Thap, An Giang, Can Tho city, Phu Tho, Kien Giang, Tien Giang, Vinh Long, Soc Trang, Tra Vinh, Ben Tre provinces",Monsoonal rain,,Yes,No,No,,745,Km2,,,"Mekong, Tien and Hau",2001,8,15,2001,11,19,310,,1570270,,1570270,,,,,84000,148813,56.44657635,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3332,""adm1_name"":""Ben Tre""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""},{""adm1_code"":3362,""adm1_name"":""Long An""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3377,""adm1_name"":""Soc Trang""},{""adm1_code"":3384,""adm1_name"":""Tien Giang""},{""adm1_code"":3386,""adm1_name"":""Tra Vinh""},{""adm1_code"":3388,""adm1_name"":""Vinh Long""},{""adm1_code"":73933,""adm1_name"":""Can Tho city""}]",2005-09-20,2023-09-25
2001-0587-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam, Quang Ngai, Ha Tinh, Nghe An, Quang Tri, Phu Yen provinces",Brief torrential rain,,No,No,No,,72000,Km2,,,,2001,10,20,2001,10,24,20,6,35000,,35006,,,,,4700,8326,56.44657635,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""}]",2004-10-28,2023-09-25
2001-0654-VNM,No,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Thu Duc district (Ho Chi Minh City province),,,No,No,No,,,Km2,,,,2001,11,4,2001,11,4,,,3000,,3000,,,,,,,56.44657635,"[{""adm2_code"":32641,""adm2_name"":""Thu Duc""}]",2003-07-01,2023-09-25
2002-0470-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Lai Chau, Lao Cai, Ha Giang, Tuyen Quang, Bac Kan, Son La, Lam Dong provinces",Heavy rain,,No,No,No,,27820,Km2,,,"Hong, Thai Binh, Lo.",2002,7,31,2002,8,6,10,,2000,,2000,,,,,2200,3837,57.34184015,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2005-09-23,2023-09-25
2002-0580-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Long An, Dong Thap, An Giang provinces",,,No,No,No,1622,,Km2,,,,2002,9,,2002,9,,82,,1138200,,1138200,,,,,23900,41680,57.34184015,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3362,""adm1_name"":""Long An""}]",2005-04-19,2023-09-25
2002-0610-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Tinh, Nghe An provinces",Heavy rain,,No,No,No,,19980,Km2,,,La River,2002,9,20,2002,9,30,55,116,291500,,291616,,,,,58000,101148,57.34184015,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""}]",2005-09-26,2023-09-25
2003-0505-VNM,No,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Ngai, Quang Nam, Binh Dinh, Quang Tri, Phu Yen, Thua Thien Hue provinces","Tropical monsoon rain, cold depression",,No,No,No,,10630,Km2,,,"Kon, Lai Giang and La Tinh",2003,10,15,2003,10,22,52,29,216745,5000,221774,,,,,32000,54567,58.64355298,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2004-01-27,2023-09-25
2003-0557-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Ninh Thuan, Binh Dinh, Phu Yen, Khanh Hoa, Quang Nam, Dak Lak provinces",Torrential rains,"Slide (land, mud, snow, rock)",No,No,No,370,362,Km2,,,"Phan Rang river, Kon river",2003,11,11,2003,11,14,61,34,185135,8880,194049,,,,,35000,59683,58.64355298,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3368,""adm1_name"":""Ninh Thuan""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""}]",2005-04-13,2023-09-25
2003-0672-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Nghe An, Thai Binh, Nam Dinh, Lao Cai, Ha Tinh provinces",Torrential rain,,No,No,No,,31350,Km2,,,"Song Con, Thai Binh",2003,9,10,2003,9,14,15,,1000,,1000,,,38000,64798,38000,64798,58.64355298,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3364,""adm1_name"":""Nam Dinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3380,""adm1_name"":""Thai Binh""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2004-01-30,2023-09-25
2004-0328-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Mai Son, Bac Yen, Song Ma districts (Son La province)",Heavy rain,,No,No,No,,3300,Km2,,,,2004,4,16,2004,4,17,9,,5000,,5000,,,,,,,60.21357973,"[{""adm2_code"":32565,""adm2_name"":""Bac Yen""},{""adm2_code"":32566,""adm2_name"":""Mai Son""},{""adm2_code"":74209,""adm2_name"":""Song Ma""}]",2005-03-28,2023-09-25
2004-0354-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FF-2004-000060,,VNM,Viet Nam,South-eastern Asia,Asia,"Du Tien, Du Gia villages (Yen Minh district, Ha Giang province), Bao Lam district (Cao Bang province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,12020,Km2,,,"Hong, Luc Nam, Thuong and Thai Binh rivers and tributaries, Red River Delta",2004,7,18,2004,7,28,53,18,,,18,,,,,8000,13286,60.21357973,"[{""adm2_code"":73984,""adm2_name"":""Bao Lam""},{""adm2_code"":32323,""adm2_name"":""Yen Minh""}]",2005-03-08,2025-06-25
2004-0735-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Vinh Long, Dong Thap, Long An, Can Tho city, Kien Giang provinces",Monsoonal rain,Rain,No,No,No,,47760,Km2,,,"Mekong (Cuu Long), Tien River",2004,8,24,2004,10,21,34,,30000,,30000,,,,,,,60.21357973,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""},{""adm1_code"":3362,""adm1_name"":""Long An""},{""adm1_code"":3388,""adm1_name"":""Vinh Long""},{""adm1_code"":73933,""adm1_name"":""Can Tho city""}]",2005-03-25,2023-09-25
2005-0315-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Vinh Thuan district (Kien Giang province),Heavy rains,Rain,No,No,No,,,Km2,,,,2005,5,26,2005,5,26,,3,385,205,593,,,,,,,62.25647853,"[{""adm2_code"":32405,""adm2_name"":""Vinh Thuan""}]",2005-06-13,2023-09-25
2005-0584-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Quang Tri, Thua Thien Hue, Quang Ngai provinces",Heavy rains,,No,No,No,,8370,Km2,,,Ben Hai,2005,10,7,2005,10,10,17,,10000,,10000,,,,,15000,24094,62.25647853,"[{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2005-10-18,2023-09-25
2005-0628-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Binh Dinh, Quang Ngai, Phu Yen, Khanh Hoa, Gia Lai, Quang Tri provinces",Heavy rains,,No,No,No,,28850,Km2,,,Ba river,2005,10,20,2005,10,28,67,,33800,,33800,,,,,12000,19275,62.25647853,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""}]",2005-11-15,2023-09-25
2005-0694-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Khanh Hoa, Dak Lak, Phu Yen, Quang Ngai, Binh Dinh, Quang Nam, Binh Thuan, Ninh Thuan, Dak Lak provinces",Torrential rains,"Slide (land, mud, snow, rock)",No,No,No,,63090,Km2,,,"Nha Trang, Kon, Cai Nha Trang, Dinh, Ve, Tra Cau, Tra Khuc, Tra Bong, Con, Ha Thanh, Lao Giang, Krong Ana, Krong Kno, Serepoc",2005,12,4,2005,12,24,69,,,18000,18000,,,,,27000,43369,62.25647853,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3368,""adm1_name"":""Ninh Thuan""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""}]",2006-02-28,2023-09-25
2005-0822-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2005-000159,,VNM,Viet Nam,South-eastern Asia,Asia,"Tan Hung, Vinh Hung, Moc Hoa districts (Long An province), Dong Thap, An Giang provinces",Monsoonal rain,,No,No,No,,54540,Km2,,,"Mekong, Tien, Hau",2005,9,8,2005,9,29,39,,30000,,30000,,,,,,,62.25647853,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm2_code"":32454,""adm2_name"":""Moc Hoa""},{""adm2_code"":32458,""adm2_name"":""Vinh Hung""},{""adm2_code"":74155,""adm2_name"":""Tan Hung""}]",2005-10-03,2025-06-25
2006-0366-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Bac Me district (Ha Giang province),Heavy rain,,No,No,No,,560,Km2,,,Lo,2006,7,9,2006,7,11,4,100,,,100,,,,,1000,1556,64.26483222,"[{""adm2_code"":32314,""adm2_name"":""Bac Me""}]",2006-07-18,2023-09-25
2006-0429-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Bac Kan, Vinh Phuc, Lang Son provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2006,7,18,2006,7,18,12,,,2000,2000,,,,,,,64.26483222,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3360,""adm1_name"":""Lang Son""},{""adm1_code"":3389,""adm1_name"":""Vinh Phuc""}]",2006-08-10,2023-09-25
2006-0446-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2006-000136,,VNM,Viet Nam,South-eastern Asia,Asia,"Binh Thuan, Nghe An, Quang Binh, Quang Tri, Dak Lak, Dong Nai, Lam Dong, Cao Bang, Ha Tinh, Thua Thien Hue, Dak Lak, Dak Nong, Yen Bai, Thanh Hoa, Phu Tho provinces",Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,119500,Km2,17.76,106.15,Dong Nai River,2006,8,12,2006,8,30,42,20,50000,,50020,,,,,8000,12448,64.26483222,"[{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3342,""adm1_name"":""Dong Nai""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""},{""adm1_code"":73935,""adm1_name"":""Dak Nong""}]",2007-03-09,2025-03-06
2006-0451-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Dong Thap provinces",Monsoonal rain,,No,No,No,,,Km2,11.06,104.68,,2006,8,10,2006,11,1,60,,,,,,,,,,,64.26483222,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""}]",2007-01-07,2023-09-25
